url,articleTitle,socialMediaCount
https://www.huffingtonpost.com/entry/colorado-boy-convinces-town-to-overturn-ban-on-snowball-fights_us_5c004846e4b027f1097be279,Colorado Boy Convinces Town To Overturn Ban On Snowball Fights,590
https://www.huffingtonpost.com/entry/chris-cuomo-george-h-w-bush-donald-trump_us_5c0631c9e4b07aec5751ef48,Chris Cuomo's Eulogy For George H.W. Bush Serves As Scalding Takedown Of Trump,580
https://www.huffingtonpost.com/entry/wikileaks-top-stories-julian-assange_us_5bf33e8de4b0d9e7283c4451,Julian Assange Faces Federal Charges. But Let's Not Forget What We've Learned From WikiLeaks.,580
https://www.huffingtonpost.com/entry/midwestern-republicans-try-to-kneecap-new-democratic-governors_us_5c05acebe4b0cd916faefc3e,Midwestern Republicans Try To Kneecap New Democratic Governors,570
https://www.huffingtonpost.com/entry/dnc-tom-perez-neutrality-rules-2020-presidential-primaries_us_5c0ea4dce4b0edf5a3a75ff3,DNC Mandates Staff Neutrality In Presidential Primaries,540
https://www.huffingtonpost.com/entry/bob-goodlatte-ivanka-trump-emails_us_5bfd4223e4b0771fb6be180e,GOP Rep. Bob Goodlatte: It's 'Awfully Tough' For Ivanka Trump To Comply With Email Rules,540
https://www.huffingtonpost.com/entry/jon-voght-trump-chief-of-staff_us_5c0f067be4b06484c9fdc3d1,"Jon Voight Appears Game To Be Trump's Chief Of Staff, And Hilarity Ensues",510
https://www.huffingtonpost.com/entry/john-kelly-chief-of-staff-moments_us_5ac3b652e4b04646b646ffd8,A Look Back At John Kelly's Turbulent Time In The White House,500
https://www.huffingtonpost.com/entry/gop-rep-chris-stewart-jamal-khashoggi-killing-journalists-disappear-all-over_us_5c06e0dde4b0a6e4ebd91905,GOP Rep. Chris Stewart On Khashoggi Killing: 'Journalists Disappear All Over The Country',470
https://www.huffingtonpost.com/entry/deported-immigrant-parents-children_us_5bf5990ce4b0771fb6b54847,Deported Parents Make Last-Ditch Effort To Reunite With Separated Kids In U.S.,470
https://www.huffingtonpost.com/entry/trump-administration-is-turning-child-migrants-away-at-the-border-lawyers-say_us_5c085c29e4b069028dc65024,"Trump Administration Is Turning Child Migrants Away At The Border, Lawyers Say",420
https://www.huffingtonpost.com/entry/mexico-asylum-migrant-deal-trump_us_5bfa5d83e4b0eb6d930f3155,"Contradicting Trump, Incoming Mexico Government Denies Making Deal To Host Asylum-Seekers",420
https://www.huffingtonpost.com/entry/trump-looking-at-several-candidates-for-chief-of-staff_us_5c0e5a81e4b0a606a9aae141,Trump Eyes Four New Candidates For Chief Of Staff,410
https://www.huffingtonpost.com/entry/wisconsin-republicans-to-vote-on-weakening-governor-s-power_us_5c06b5c9e4b0cd916fb0b98a,Wisconsin Republicans To Vote On Weakening Governor's Power,410
https://www.huffingtonpost.com/entry/trump-tweets-thanksgiving_us_5bfc0e9de4b0771fb6bc0882,"Trump Starts New Week By Tweeting Up A Storm, Omitting Some Major Headlines",400
https://www.huffingtonpost.com/entry/clintons-tour-trump-mcraven_us_5bfe1b99e4b030172fa81fb2,Clintons Weigh In On Trump’s Feud With Adm. McRaven In First Tour Stop,390
https://www.huffingtonpost.com/entry/in-the-closet-in-the-white-house-the-tortured-history-of-the-gay-man-who-touched-off-the-purge-of-gays-in-government_us_5c003703e4b08506231ad56e,In The Closet In The White House: The Tortured History Of The Gay Man Who Touched Off The Purge Of Gays In Government,380
https://www.huffingtonpost.com/entry/christine-blasey-ford-civic-duty_us_5bfc3dade4b0eb6d931276cf,Christine Blasey Ford: 'I Am Grateful To Have Had The Opportunity To Fulfill My Civic Duty',370
https://www.huffingtonpost.com/entry/critics-attack-trump-for-burying-release-of-clime-report-during-holiday_us_5bf9da14e4b0771fb6b9568a,White House Lashed For 'Burying' Bombshell Climate Report With Holiday Release,370
https://www.huffingtonpost.com/entry/michael-cohen-guilty-plea-explained_us_5c001ffce4b027f1097bb394,Here’s Everything You Need To Know About Michael Cohen’s New Guilty Plea,350
https://www.huffingtonpost.com/entry/trump-shutdown-border_us_5c01a297e4b0606a15b54620,"Trump’s Wall Shutdown Would Leave Border Patrol, ICE, Other DHS Employees In Lurch",350
https://www.huffingtonpost.com/entry/michael-cohen-guilty-plea-explained_us_5c001ffce4b027f1097bb394,Here’s Everything You Need To Know About Michael Cohen’s New Guilty Plea,350
https://www.huffingtonpost.com/entry/trump-china-car-tariffs_us_5c0508a8e4b0606a15b70e15,Trump Says China Has Agreed To 'Reduce And Remove Tariffs' On American-Made Cars,310
https://www.huffingtonpost.com/entry/court-deadlines-set-stage-for-more-russia-probe-details_us_5c0aad1ae4b0a606a9a86533,Court Deadlines Set Stage For More Robert Mueller Russia Investigation Details,310
https://www.huffingtonpost.com/entry/donald-trump-xi-jinping-trade-truce-g20_us_5c038e15e4b04fb21168c960,"Donald Trump, Xi Jinping Agree To Trade Truce At G-20 Summit",300
https://www.huffingtonpost.com/entry/north-carolina-election-investigation_us_5c09e0e0e4b0de79357b4e35,GOP Candidate's Consultant Linked To 2nd County In North Carolina Election Probe,290
https://www.huffingtonpost.com/entry/in-the-trump-era-democrats-look-more-kindly-on-past-gop-presidents_us_5c09a8dde4b0de79357b334a,"In The Trump Era, Democrats Look More Kindly On Past GOP Presidents",270
https://www.huffingtonpost.com/entry/supreme-court-planned-parenthood-medicaid_us_5c0eaf3ce4b08bcb27eb4688,Supreme Court Justices Won't Hear States' Appeal Over Planned Parenthood,260
https://www.huffingtonpost.com/entry/fox-business-louie-gohmert-for-george-soros-anti-semitism_us_5c09df95e4b04046345a9ce9,Fox Business Slams GOP Rep. Louie Gohmert For Anti-Soros Screed -- On Fox Business,260
https://www.huffingtonpost.com/entry/utah-hate-crime-laws_us_5c058719e4b066b5cfa4b005,Utah's Hate Crime Law Is 'Unenforceable.' A Brutal Attack In Salt Lake City Could Change That.,240
https://www.huffingtonpost.com/entry/ansly-damus-asylum-ice_us_5c006423e4b0d04f48b26ae6,ICE To Release Asylum-Seeker After 2 Years In Detention,240
https://www.huffingtonpost.com/entry/protesters-arrested-nancy-pelosi-office-climate-demonstration_us_5c0ea39ae4b08bcb27eb2842,Protesters Arrested Outside Nancy Pelosi's Office In Climate Demonstration,240
https://www.huffingtonpost.com/entry/coal-consumption-us-decline_us_5c073b4ee4b0680a7eca1916,Coal Consumption In The U.S. Falls To Lowest Level Since 1979,230
https://www.huffingtonpost.com/entry/ayanna-pressley-progressive-lawmakers-rally-elaine-chao-harvard-conference_us_5c06f377e4b0a6e4ebd94a67,Progressive Lawmakers Hold Health Care Rally Outside Centrist Harvard Conference,220
https://www.huffingtonpost.com/entry/kennedy-center-honors-2018_us_5c04de14e4b0606a15b6b80f,The Kennedy Center Honors Didn't Need Donald Trump,220
https://www.huffingtonpost.com/entry/mott-haven-foster_us_5bf59de7e4b0eb6d930b078c,One School's Mission To Teach Kids Whose Lives Have Been Hijacked By Trauma,210
https://www.huffingtonpost.com/entry/pipe-bomb-right-wing-blogger-eric-krieg_us_5bfd9c80e4b0771fb6befbf1,Former GOP Candidate Whose Pipe Bomb Injured Postal Worker Reaches Plea Deal,200
https://www.huffingtonpost.com/entry/paul-manafort-julian-assange-giuliani_us_5bfd975ae4b03b230fa7b70d,Giuliani Says Trump Doesn't Know If Paul Manafort Met With WikiLeaks’ Julian Assange,200
https://www.huffingtonpost.com/entry/us-to-keep-about-4-000-troops-at-border-through-january_us_5c01a5fde4b04fb211680bef,"U.S. To Keep About 4,000 Troops At Border Through January",180
https://www.huffingtonpost.com/entry/asylum-seekers-mexico-remain-deal-trump_us_5bf9ea1fe4b03b230fa22307,Asylum Seekers Would Stay In Mexico Under New Deal Cut By Trump: Report,170
https://www.huffingtonpost.com/entry/trump-picks-gen-mark-milley-as-next-top-military-adviser_us_5c0bdd9fe4b035a7bf5bb17d,Trump Picks Gen. Mark Milley As Next Top Military Adviser,170
https://www.huffingtonpost.com/entry/asylum-seekers-detention_us_5bfdafc7e4b0a46950dce15d,This Asylum-Seeker Found A Community To Back Him. Now He Needs A Judge To Agree.,170
https://www.huffingtonpost.com/entry/trump-wampanoag-reservation-thanksgiving_us_5bf5b80de4b03b230f9e44ac,"This Thanksgiving, The Trump Administration Is Taking Land From The Tribe That Welcomed The Pilgrims",140
https://www.huffingtonpost.com/entry/donald-trump-debt-crisis-shrugs-off_us_5c08efd3e4b069028dc6a6d7,Donald Trump Reportedly Shrugged Off Looming Debt Crisis Because 'I Won't Be Here',130
https://www.huffingtonpost.com/entry/these-are-new-key-pieces-of-information-in-the-russia-investigation_us_5c0b03a3e4b035a7bf5b3a27,Here Are The Most Interesting Parts Of The Latest Mueller Filings,120
https://www.huffingtonpost.com/entry/george-hw-bush-funeral-details_us_5c04131ee4b04fb2116917a8,George H.W. Bush Funeral Details Released,120
https://www.huffingtonpost.com/entry/paul-ryan-california-elections_us_5c004a8ae4b027f1097be7a7,California Takes Its Time Counting Ballots. Paul Ryan Thinks That's Really Weird.,120
https://www.huffingtonpost.com/entry/felix-sater-donald-trump-michael-cohen-moscow-tower_us_5c05a549e4b07aec57519c5e,Originator Of The Trump Penthouse For Putin Idea Says He Doesn't Know How Far It Went,100
https://www.huffingtonpost.com/entry/supreme-court-mueller-probe-double-jeopardy_us_5c09795fe4b04046345a3c0d,Supreme Court Double Jeopardy Case Looks Like Good News For Mueller Probe,100
